"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"17047088"	0.393291178250117	8.68960814566212	5.89568241273951	1.18736803608224e-07	1.86804493676693e-05	7.44008517433797	"LAT2"
"16735835"	-0.543629812077411	9.68507845903802	-5.8832620407825	1.24857418915486e-07	1.95106589679625e-05	7.39223324209569	NA
"16707944"	-0.338346283579746	8.88392685522157	-5.87937565558529	1.26835842794066e-07	1.96867955456266e-05	7.37726671008608	"C10orf12"
"16980768"	-0.481712585530669	10.8537239194171	-5.87708185617338	1.2801803529281e-07	1.97378206814455e-05	7.36843471864271	NA
"16811656"	0.317468195424775	9.6243472499119	5.87066626847235	1.31382641544007e-07	2.01224261654851e-05	7.34373808771774	"UBL7"
"16872323"	-0.439789702094997	7.46285926612782	-5.86310946876551	1.35457911498252e-07	2.06100994685531e-05	7.31465938400478	"ZNF780A"
"16843158"	0.756437238693123	5.6973092834427	5.84382744650427	1.46430768792683e-07	2.21340156200547e-05	7.24051605126465	NA
"16827248"	0.455771000566775	8.42595068581135	5.83881481617867	1.49424227018152e-07	2.24398318068104e-05	7.22125430640913	"TRADD"
"17049053"	-0.806195352055862	4.38472232137187	-5.81038879850444	1.67578438003144e-07	2.50037841012819e-05	7.11212464714349	"LOC101927610"
"16836624"	-0.854369074593059	9.25392174438238	-5.80108518582845	1.73980494861508e-07	2.54991108783403e-05	7.07644511926792	NA
"16732032"	-0.431603665064666	6.08279559065959	-5.8006957023119	1.74253709892227e-07	2.54991108783403e-05	7.07495185189223	NA
"17043653"	-0.405069172784443	7.31887639670997	-5.80040767176109	1.74456030034104e-07	2.54991108783403e-05	7.07384757314213	"PHF14"
"16855988"	-0.55958344175906	6.88552987026786	-5.79919773839605	1.75308454605271e-07	2.54991108783403e-05	7.06920901314221	"LINC00909"
"17109109"	-0.584306287037503	9.48223675579268	-5.79543193054263	1.77987947286204e-07	2.57270453555503e-05	7.05477395361553	NA
"16972844"	-0.563695919598262	7.82420989349789	-5.78387851237959	1.86463379591065e-07	2.67847116757922e-05	7.01050681023995	"LOC102723779"
"17075395"	0.777146910710595	6.21416416206002	5.77752128149176	1.91295587057962e-07	2.73092163079598e-05	6.9861614353255	"EGR3"
"16717383"	0.377927891583241	8.89554251346119	5.77426614147037	1.93817490518858e-07	2.74994914308566e-05	6.97369913587778	"SLC25A28"
"16825537"	0.76138634883615	4.65741019668807	5.76904705288921	1.97929595065934e-07	2.7911693567621e-05	6.95372274312789	NA
"16835567"	0.633480764189259	4.62227287204115	5.76608251404795	2.0030356445791e-07	2.80752759710187e-05	6.94237846621615	NA
